"Movie,Actor,Character"
                 (1994),George Macready,""Ballin Mundson "
  
  
"  (archive footage) (uncredited)"""
"The Shawshank Redemption 
                 (1994),Christopher Page,""Traffic (driver) "
  
  
"  (uncredited)"""
"The Shawshank Redemption 
                 (1994),Neil Riddaway,""Con "
  
  
"  (uncredited)"""
"The Shawshank Redemption 
                 (1994),Brad Spencer,""1957 Parole Hearings Guard "
  
  
"  (uncredited)"""
"The Shawshank Redemption 
                 (1994),Jodiviah Stepp,""New Fish Con "
  
  
"  (uncredited)"""
"The Shawshank Redemption 
                 (1994),Mark A. Strain,""Yard Inmate "
  
  
"  (uncredited)"""
